run,loss_pct_per_direction,fec_k,repetition,offered_rate_msg_s,expected,delivered,missing,end_to_end_missing_pct,p50_us,p99_us,p999_us,p9999_us,max_us,fec_recovered_both_directions,sender_test_dropped_both_directions,impairment_method
loss0_fec0_rep1,0.0,0,1,250000,3000000,3000000,0,0.0,52.634,75.004,112.179,140.597,171.38,0,0,none
loss0_fec0_rep2,0.0,0,2,250000,3000000,3000000,0,0.0,54.551,96.279,167.953,187.914,238.762,0,0,none
loss0_fec8_rep1,0.0,8,1,250000,3000000,3000000,0,0.0,57.304,90.922,141.683,163.602,247.946,0,0,none
loss0_fec8_rep2,0.0,8,2,250000,3000000,3000000,0,0.0,66.249,149.608,199.255,224.395,291.372,0,0,none
loss0p01_fec0_rep1,0.01,0,1,250000,3000000,2999366,634,0.021133,54.885,96.506,159.874,189.292,257.208,0,634,sender_test_drop
loss0p01_fec0_rep2,0.01,0,2,250000,3000000,2999366,634,0.021133,55.078,121.507,184.311,210.179,300.816,0,634,sender_test_drop
loss0p01_fec8_rep1,0.01,8,1,250000,3000000,3000000,0,0.0,57.544,82.91,149.498,173.25,200.058,660,726,sender_test_drop
loss0p01_fec8_rep2,0.01,8,2,250000,3000000,3000000,0,0.0,56.472,122.605,173.82,196.131,284.335,647,726,sender_test_drop
loss0p1_fec0_rep1,0.1,0,1,250000,3000000,2993759,6241,0.208033,53.722,81.866,150.813,171.819,193.455,0,6241,sender_test_drop
loss0p1_fec0_rep2,0.1,0,2,250000,3000000,2993759,6241,0.208033,54.382,116.187,188.63,231.529,320.702,0,6241,sender_test_drop
loss0p1_fec8_rep1,0.1,8,1,250000,3000000,2999963,37,0.001233,57.6,150.935,193.939,252.823,322.228,6201,6966,sender_test_drop
loss0p1_fec8_rep2,0.1,8,2,250000,3000000,2999958,42,0.0014,56.617,127.974,178.709,200.609,278.08,6175,6966,sender_test_drop
loss1_fec0_rep1,1.0,0,1,250000,3000000,2937685,62315,2.077167,53.593,88.061,157.609,180.744,267.137,0,62315,sender_test_drop
loss1_fec0_rep2,1.0,0,2,250000,3000000,2937685,62315,2.077167,53.068,114.278,180.667,205.833,273.594,0,62315,sender_test_drop
loss1_fec8_rep1,1.0,8,1,250000,3000000,2995085,4915,0.163833,61.735,131.858,183.595,227.702,320.012,57497,70170,sender_test_drop
loss1_fec8_rep2,1.0,8,2,250000,3000000,2995107,4893,0.1631,57.81,85.216,160.38,185.955,209.329,57520,70168,sender_test_drop
