phase,configuration,ring_slots,offered_rate,repeat,batch_size,producer_messages,sender_messages,lapped_events,skipped_messages,receiver_received,receiver_published,consumer_measured,consumer_dropped,sender_active_ns,sender_effective_rate,accepted
baseline,s16_1m,65536,1000000,1,32,3100000,2563975,78893,,2563975,2563361,2463361,536639,,,false
baseline,s18_1m,262144,1000000,1,32,3100000,2658340,58336,,2658340,989392,889392,2110608,,,false
baseline,s20_1m,1048576,1000000,1,32,3100000,3100000,0,,3100000,3100000,3000000,0,,,true
baseline,s20_1m,1048576,1000000,2,32,3100000,3100000,0,,3100000,3100000,3000000,0,,,true
baseline,s20_1250k,1048576,1250000,1,32,3100000,2941269,9950,,2941269,1710534,1610534,1389466,,,false
baseline,s20_1250k,1048576,1250000,2,32,3100000,2894694,12108,,2894694,1618328,1518328,1481672,,,false
fast_path,s16_1m,65536,1000000,1,32,3100000,2725282,80493,374718,2720577,2719564,2619564,380436,3189040165,854577.509,false
fast_path,s16_1m,65536,1000000,2,32,3100000,2706675,79935,393325,2706675,2705467,2605467,394533,3189014108,848749.773,false
fast_path,s16_batch64_1m,65536,1000000,1,64,3100000,2758887,40348,341113,2743317,2742803,2642803,357197,3187219901,865609.241,false
fast_path,s20_1m,1048576,1000000,1,32,3100000,3100000,0,0,3100000,3100000,3000000,0,3956648286,783491.424,true
fast_path,s20_1250k,1048576,1250000,1,32,3100000,3100000,0,0,3100000,3100000,3000000,0,3737877018,829347.778,true
fast_path,s20_1250k,1048576,1250000,2,32,3100000,3100000,0,0,3100000,3100000,3000000,0,3785220837,818974.674,true
fast_path,s20_1375k,1048576,1375000,1,32,3100000,3068862,2363,31138,3068862,2030606,1930606,1069394,3652869702,840123.588,false
fast_path,s20_1375k,1048576,1375000,2,32,3100000,2973959,7989,126041,2973959,1794406,1694406,1305594,3707746863,802093.322,false
fast_path,s20_1500k,1048576,1500000,1,32,3100000,2854673,13543,245327,2854673,1525939,1425939,1574061,3487638914,818511.626,false
